,Ship Mode,Segment,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
2279,First Class,Consumer,Washington,West,Furniture,Chairs,4.580549570805844,2,0.2,L
2280,First Class,Consumer,Washington,West,Furniture,Chairs,6.420437826795726,8,0.2,L
2281,First Class,Consumer,Washington,West,Furniture,Bookcases,5.298217361547703,2,0.0,P
2282,First Class,Corporate,Connecticut,East,Office Supplies,Paper,3.8745288010005656,7,0.0,P
2283,Standard Class,Consumer,Indiana,Central,Technology,Phones,3.1747149290824312,2,0.0,P
2284,Standard Class,Consumer,Indiana,Central,Office Supplies,Appliances,4.105778939847764,7,0.0,P
2285,First Class,Corporate,Tennessee,South,Office Supplies,Paper,2.6638893053164403,3,0.2,P
2286,Standard Class,Consumer,Virginia,South,Office Supplies,Appliances,3.5564902660681907,2,0.0,P
2287,Second Class,Corporate,Ohio,East,Office Supplies,Appliances,2.8610573702273894,5,0.2,P
2288,First Class,Consumer,California,West,Office Supplies,Art,2.797281334830153,5,0.0,P
2289,First Class,Corporate,Washington,West,Furniture,Tables,6.794564184209122,2,0.0,P
2290,Standard Class,Corporate,Georgia,South,Technology,Phones,5.662856308043556,3,0.0,P
2291,Standard Class,Corporate,Georgia,South,Furniture,Furnishings,6.389199857154205,6,0.0,P
2292,Standard Class,Corporate,Georgia,South,Office Supplies,Paper,2.561867690924129,2,0.0,P
2293,Standard Class,Corporate,New York,East,Technology,Phones,1.599387576580599,1,0.0,P
2294,Standard Class,Corporate,Connecticut,East,Furniture,Furnishings,5.203731924058169,3,0.0,P
2295,Standard Class,Consumer,New York,East,Office Supplies,Paper,2.604170070614818,4,0.0,P
2296,Standard Class,Consumer,New York,East,Furniture,Furnishings,5.5595271186687025,5,0.0,P
2297,Standard Class,Consumer,New York,East,Technology,Phones,3.7600366484302645,1,0.0,P
2298,Standard Class,Consumer,New York,East,Technology,Accessories,7.244177514353308,7,0.0,P
2299,Standard Class,Consumer,New York,East,Technology,Phones,6.222496899842429,4,0.0,P
2300,Standard Class,Consumer,Michigan,Central,Office Supplies,Binders,2.543175557911976,3,0.0,P
2301,Standard Class,Consumer,Michigan,Central,Office Supplies,Binders,2.444084655267745,4,0.0,P
2302,Standard Class,Corporate,Georgia,South,Technology,Accessories,5.755742213586912,4,0.0,P
2303,Second Class,Home Office,Georgia,South,Furniture,Chairs,6.584680889042878,4,0.0,P
2304,Second Class,Home Office,Georgia,South,Office Supplies,Paper,4.66645341440499,3,0.0,P
2305,First Class,Corporate,Illinois,Central,Furniture,Bookcases,4.9513947140519825,2,0.3,L
2306,First Class,Corporate,Texas,Central,Office Supplies,Paper,3.303805035653506,3,0.2,P
2307,Standard Class,Consumer,New York,East,Technology,Accessories,5.968067969301586,5,0.0,P
2308,First Class,Home Office,Arizona,West,Furniture,Chairs,5.637614181717318,1,0.2,P
2309,First Class,Home Office,Arizona,West,Office Supplies,Storage,4.226074332899995,4,0.2,P
2310,First Class,Home Office,Arizona,West,Office Supplies,Art,4.477791256658261,5,0.2,P
2311,First Class,Home Office,Arizona,West,Office Supplies,Art,2.764556550542517,1,0.2,P
2312,First Class,Home Office,Arizona,West,Office Supplies,Storage,5.373387732595015,3,0.2,L
2313,Standard Class,Corporate,South Dakota,Central,Office Supplies,Labels,2.6823904543216326,2,0.0,P
2314,Standard Class,Corporate,South Dakota,Central,Office Supplies,Appliances,6.03145419532414,2,0.0,P
2315,Standard Class,Corporate,South Dakota,Central,Office Supplies,Binders,3.7612001156935624,5,0.0,P
2316,Standard Class,Corporate,South Dakota,Central,Furniture,Chairs,5.209158230228218,3,0.0,P
2317,Standard Class,Corporate,South Dakota,Central,Office Supplies,Binders,4.108083088332614,7,0.0,P
2318,Standard Class,Corporate,South Dakota,Central,Technology,Accessories,5.966069813088038,3,0.0,P
2319,First Class,Consumer,Virginia,South,Office Supplies,Appliances,5.269506284693917,4,0.0,P
2320,Standard Class,Corporate,Washington,West,Technology,Accessories,5.583233116254847,7,0.0,P
2321,Second Class,Corporate,Kentucky,South,Office Supplies,Binders,4.5511362974956056,3,0.0,P
2322,Second Class,Corporate,Kentucky,South,Office Supplies,Binders,4.104954741334116,4,0.0,P
2323,Second Class,Corporate,Kentucky,South,Office Supplies,Binders,4.334672938290411,5,0.0,P
2324,Second Class,Corporate,Kentucky,South,Office Supplies,Binders,5.899349258200177,12,0.0,P
2325,Second Class,Corporate,New York,East,Office Supplies,Binders,4.380425353306908,3,0.2,P
2326,Second Class,Corporate,New York,East,Furniture,Bookcases,3.8369545721792995,1,0.2,P
2327,Second Class,Corporate,New York,East,Office Supplies,Paper,2.561867690924129,2,0.0,P
2328,First Class,Home Office,Colorado,West,Office Supplies,Envelopes,2.6638893053164403,3,0.2,P
2329,Standard Class,Corporate,Pennsylvania,East,Furniture,Furnishings,6.304697400403769,4,0.2,L
2330,Second Class,Corporate,California,West,Office Supplies,Storage,3.7367167835280966,2,0.0,P
2331,Second Class,Corporate,California,West,Office Supplies,Paper,3.730501128804756,5,0.0,P
2332,Standard Class,Consumer,Indiana,Central,Office Supplies,Paper,5.625460507880731,5,0.0,P
2333,Standard Class,Consumer,Indiana,Central,Office Supplies,Paper,1.7544036826842861,1,0.0,P
2334,Standard Class,Consumer,Tennessee,South,Office Supplies,Appliances,4.237232049770649,6,0.2,P
2335,Same Day,Consumer,Connecticut,East,Office Supplies,Envelopes,2.3850863145057892,3,0.0,P
2336,Same Day,Consumer,Connecticut,East,Office Supplies,Appliances,6.056292088975038,7,0.0,P
2337,Same Day,Consumer,New York,East,Office Supplies,Paper,3.255014871484074,4,0.0,P
2338,Same Day,Consumer,New York,East,Office Supplies,Paper,3.826900752011311,4,0.0,P
2339,Standard Class,Consumer,Ohio,East,Office Supplies,Art,2.372111155642656,2,0.2,P
2340,Standard Class,Consumer,Georgia,South,Office Supplies,Art,3.7343307170178535,7,0.0,P
2341,First Class,Home Office,Massachusetts,East,Furniture,Furnishings,4.146304301152812,5,0.0,P
2342,First Class,Home Office,Massachusetts,East,Technology,Accessories,4.735935255867644,3,0.0,P
2343,Second Class,Consumer,Illinois,Central,Office Supplies,Storage,4.816662120081826,3,0.2,L
2344,Standard Class,Home Office,Wisconsin,Central,Office Supplies,Appliances,6.1950582391774764,9,0.0,P
2345,Standard Class,Consumer,Texas,Central,Office Supplies,Paper,4.249637446628136,5,0.2,P
2346,Standard Class,Consumer,Texas,Central,Office Supplies,Binders,0.24059046491793043,2,0.8,L
2347,Standard Class,Consumer,Texas,Central,Furniture,Tables,6.323614958080172,5,0.3,L
2348,Same Day,Corporate,California,West,Office Supplies,Binders,2.199887694755703,6,0.2,P
2349,Same Day,Corporate,California,West,Office Supplies,Binders,4.240693458557238,2,0.2,P
2350,Same Day,Corporate,California,West,Office Supplies,Paper,2.3850863145057892,2,0.0,P
2351,Same Day,Corporate,California,West,Office Supplies,Appliances,4.375379591952088,3,0.0,P
2352,Same Day,Corporate,California,West,Office Supplies,Art,2.3105532626432224,6,0.0,P
2353,First Class,Corporate,California,West,Furniture,Bookcases,7.347834995591639,7,0.15,P
2354,First Class,Corporate,California,West,Office Supplies,Binders,4.921731217990249,5,0.2,P
2355,First Class,Corporate,California,West,Technology,Accessories,3.5975861956675455,1,0.0,P
2356,First Class,Corporate,California,West,Technology,Machines,5.480538918341658,3,0.2,P
2357,Standard Class,Corporate,New York,East,Furniture,Tables,7.365019353604149,7,0.4,L
2358,Standard Class,Corporate,New York,East,Furniture,Tables,6.976885741003077,4,0.4,L
2359,Standard Class,Corporate,New York,East,Furniture,Tables,6.419845079786887,3,0.4,L
2360,Standard Class,Corporate,New York,East,Office Supplies,Paper,3.551340040091875,7,0.0,P
2361,Standard Class,Corporate,New York,East,Office Supplies,Paper,5.043683148142456,4,0.0,P
2362,Standard Class,Consumer,Ohio,East,Office Supplies,Binders,2.6181254935742233,5,0.7,L
2363,Standard Class,Home Office,Virginia,South,Furniture,Furnishings,4.851092324191641,2,0.0,P
2364,Standard Class,Home Office,Virginia,South,Office Supplies,Appliances,5.0771718178965,2,0.0,P
2365,Standard Class,Home Office,Virginia,South,Office Supplies,Binders,3.828641396489095,4,0.0,P
2366,Second Class,Consumer,California,West,Furniture,Chairs,4.79340754321135,1,0.2,L
2367,First Class,Consumer,Maryland,East,Office Supplies,Paper,3.1406980438041767,4,0.0,P
2368,Standard Class,Corporate,Ohio,East,Furniture,Furnishings,6.2779659228116005,6,0.2,L
2369,Standard Class,Corporate,Ohio,East,Office Supplies,Art,1.5916811908448414,2,0.2,P
2370,Second Class,Corporate,Rhode Island,East,Technology,Accessories,5.529429087511423,4,0.0,P
2371,Second Class,Corporate,Illinois,Central,Furniture,Furnishings,4.099133078953898,8,0.6,L
2372,Second Class,Corporate,Illinois,Central,Office Supplies,Fasteners,0.9677440134630708,1,0.2,P
2373,Second Class,Corporate,Illinois,Central,Office Supplies,Paper,3.16496859079929,9,0.2,P
2374,Second Class,Corporate,Illinois,Central,Furniture,Chairs,5.5348587645442,2,0.3,L
2375,Standard Class,Consumer,Georgia,South,Office Supplies,Fasteners,1.7351891177396608,3,0.0,P
2376,Second Class,Consumer,Ohio,East,Office Supplies,Binders,4.340892091315326,4,0.7,L
2377,Second Class,Consumer,Ohio,East,Office Supplies,Supplies,2.2174628395772107,2,0.2,P
2378,Standard Class,Home Office,California,West,Office Supplies,Paper,3.488902962081261,5,0.0,P
2379,Standard Class,Home Office,Ohio,East,Office Supplies,Fasteners,1.9763007827603225,2,0.2,P
2380,Standard Class,Home Office,Ohio,East,Office Supplies,Paper,3.9033454642344583,2,0.2,P
2381,Standard Class,Home Office,Ohio,East,Furniture,Furnishings,4.002083063795795,7,0.2,P
2382,First Class,Consumer,California,West,Office Supplies,Appliances,5.1707112419428904,4,0.0,P
2383,First Class,Consumer,California,West,Office Supplies,Art,2.7738379416402132,9,0.0,P
2384,First Class,Consumer,California,West,Office Supplies,Binders,5.225316473663546,4,0.2,P
2385,First Class,Consumer,California,West,Technology,Phones,5.352654025201011,4,0.2,P
2386,First Class,Consumer,California,West,Technology,Copiers,6.173752770013035,2,0.2,P
2387,First Class,Consumer,California,West,Office Supplies,Fasteners,2.061786606441115,2,0.0,P
2388,First Class,Consumer,California,West,Office Supplies,Binders,3.19654841298411,2,0.2,P
2389,Standard Class,Consumer,New York,East,Office Supplies,Paper,1.8687205103641833,1,0.0,P
2390,Standard Class,Consumer,New York,East,Office Supplies,Paper,3.7343307170178535,7,0.0,P
2391,Standard Class,Consumer,New York,East,Technology,Accessories,7.390125871127608,9,0.0,P
2392,Standard Class,Consumer,New York,East,Furniture,Furnishings,4.735496447663666,4,0.0,P
2393,Standard Class,Consumer,Massachusetts,East,Office Supplies,Art,3.6808472824166723,2,0.0,P
2394,Standard Class,Corporate,New York,East,Technology,Accessories,3.6270040503958487,2,0.0,P
2395,Standard Class,Corporate,New York,East,Technology,Accessories,4.092676505121403,2,0.0,P
2396,Standard Class,Corporate,New York,East,Office Supplies,Paper,3.6109179126442243,5,0.0,P
2397,Second Class,Consumer,California,West,Office Supplies,Labels,1.7509374747078,2,0.0,P
2398,Second Class,Consumer,California,West,Office Supplies,Art,2.8142103969306005,6,0.0,P
2399,Standard Class,Corporate,South Carolina,South,Office Supplies,Storage,6.443829144296428,7,0.0,P
2400,Standard Class,Corporate,South Carolina,South,Office Supplies,Storage,4.033355290595671,5,0.0,P
2401,Second Class,Consumer,Missouri,Central,Office Supplies,Storage,4.545420181582317,6,0.0,P
2402,Second Class,Consumer,Missouri,Central,Office Supplies,Envelopes,3.3463891451671604,5,0.0,P
2403,Standard Class,Corporate,Texas,Central,Furniture,Bookcases,6.863453068864141,7,0.32,L
2404,Standard Class,Consumer,California,West,Technology,Accessories,7.01742549452797,9,0.0,P
2405,Standard Class,Consumer,California,West,Technology,Phones,4.8578259365161935,7,0.2,L
2406,Standard Class,Consumer,California,West,Technology,Phones,4.381026134340298,10,0.2,P
2407,Standard Class,Consumer,California,West,Office Supplies,Art,3.186352633162641,5,0.0,P
2408,Standard Class,Consumer,California,West,Technology,Phones,5.886037362561168,3,0.2,P
2409,First Class,Home Office,California,West,Furniture,Furnishings,5.3558312727486435,8,0.0,P
2410,Standard Class,Home Office,Pennsylvania,East,Office Supplies,Fasteners,1.7369512327330598,2,0.2,P
2411,Second Class,Corporate,California,West,Office Supplies,Binders,2.017566137961748,5,0.2,P
2412,Standard Class,Consumer,California,West,Office Supplies,Paper,2.481567748522486,2,0.0,P
2413,Standard Class,Consumer,California,West,Furniture,Tables,6.444233000332013,3,0.2,P
2414,Standard Class,Consumer,Wisconsin,Central,Furniture,Chairs,6.62598900695966,5,0.0,P
2415,Standard Class,Home Office,Massachusetts,East,Furniture,Bookcases,5.710294558271424,2,0.0,P
2416,Standard Class,Corporate,New Mexico,West,Technology,Accessories,6.38856140554563,5,0.0,P
2417,Standard Class,Corporate,New Mexico,West,Office Supplies,Binders,4.380425353306908,3,0.2,P
2418,Standard Class,Corporate,Nevada,West,Technology,Machines,7.78172289020977,10,0.2,P
2419,Standard Class,Corporate,California,West,Office Supplies,Storage,4.151984341668515,2,0.0,P
2420,Standard Class,Corporate,California,West,Technology,Accessories,4.605070180987758,1,0.0,P
2421,Standard Class,Home Office,Illinois,Central,Office Supplies,Storage,5.439712756729346,3,0.2,L
2422,Standard Class,Home Office,Illinois,Central,Office Supplies,Paper,2.268407641192459,2,0.2,P
2423,Standard Class,Consumer,Ohio,East,Technology,Accessories,5.068451269473,7,0.2,P
2424,Standard Class,Consumer,Ohio,East,Office Supplies,Binders,2.566717024985566,1,0.7,L
2425,Standard Class,Consumer,Ohio,East,Furniture,Tables,5.6096915512566055,2,0.4,L
2426,Standard Class,Consumer,Ohio,East,Office Supplies,Fasteners,3.671529815778823,13,0.2,P
2427,Standard Class,Corporate,Texas,Central,Office Supplies,Binders,0.29565024210095786,4,0.8,L
2428,Standard Class,Corporate,Texas,Central,Office Supplies,Binders,2.1128763177660734,4,0.8,L
2429,Standard Class,Corporate,Texas,Central,Furniture,Furnishings,2.529242463608052,7,0.6,L
2430,Standard Class,Home Office,California,West,Office Supplies,Labels,4.068684815441523,8,0.0,P
2431,Standard Class,Corporate,Washington,West,Furniture,Furnishings,2.0014800002101243,2,0.0,P
2432,Standard Class,Consumer,New York,East,Furniture,Chairs,5.904778571714965,7,0.1,P
2433,Standard Class,Consumer,Texas,Central,Technology,Phones,3.9957757454895217,4,0.2,P
2434,First Class,Corporate,Virginia,South,Office Supplies,Envelopes,3.5251833614431467,2,0.0,P
2435,First Class,Corporate,Virginia,South,Office Supplies,Appliances,6.716727936567219,3,0.0,P
2436,Standard Class,Consumer,New Mexico,West,Furniture,Furnishings,6.302344212726279,9,0.0,P
2437,Second Class,Consumer,Colorado,West,Furniture,Tables,4.983469626023486,2,0.5,L
2438,Second Class,Consumer,Colorado,West,Office Supplies,Paper,3.5781713321295148,4,0.2,P
2439,Standard Class,Consumer,Florida,South,Furniture,Furnishings,2.0673689604455667,2,0.2,P
2440,Standard Class,Consumer,New Jersey,East,Technology,Phones,5.84354441703136,5,0.0,P
2441,Standard Class,Consumer,New Jersey,East,Furniture,Tables,5.1606976280149075,2,0.3,L
2442,Standard Class,Consumer,New Jersey,East,Office Supplies,Appliances,6.496533633761593,4,0.0,P
2443,Standard Class,Consumer,New Jersey,East,Technology,Accessories,4.554928969551344,5,0.0,P
2444,Standard Class,Consumer,New Jersey,East,Office Supplies,Envelopes,3.2913825156549485,6,0.0,P
2445,Standard Class,Consumer,New Jersey,East,Technology,Phones,5.55288206253699,2,0.0,P
2446,Standard Class,Consumer,California,West,Office Supplies,Envelopes,2.8610573702273894,2,0.0,P
2447,Standard Class,Consumer,Pennsylvania,East,Furniture,Chairs,6.200174432424588,5,0.3,L
2448,Second Class,Consumer,South Carolina,South,Office Supplies,Storage,5.596531283909225,3,0.0,P
2449,Standard Class,Home Office,California,West,Office Supplies,Binders,3.3714252233284854,5,0.2,P
2450,Second Class,Consumer,New York,East,Office Supplies,Labels,2.9311937524164198,5,0.0,P
2451,Second Class,Consumer,New York,East,Technology,Phones,4.784988612563928,6,0.0,P
2452,Second Class,Consumer,New York,East,Office Supplies,Binders,2.2130979264925097,3,0.2,P
2453,Second Class,Consumer,New York,East,Technology,Accessories,4.044103345785354,3,0.0,P
2454,Second Class,Consumer,New York,East,Technology,Accessories,4.2710950739666,8,0.0,P
2455,Second Class,Consumer,New York,East,Office Supplies,Storage,4.676932552214982,8,0.0,P
2456,Second Class,Consumer,New York,East,Office Supplies,Labels,1.9892432737616872,1,0.0,P
2457,Second Class,Consumer,New York,East,Office Supplies,Art,4.079230924412053,6,0.0,P
2458,Second Class,Consumer,New York,East,Office Supplies,Storage,3.8400972658565573,3,0.0,P
2459,Standard Class,Consumer,New Jersey,East,Office Supplies,Appliances,4.583333491378917,2,0.0,P
2460,Second Class,Consumer,Washington,West,Office Supplies,Paper,3.4001968813285717,3,0.0,P
2461,Second Class,Consumer,Washington,West,Office Supplies,Binders,4.588552880164654,3,0.2,P
2462,Standard Class,Consumer,New York,East,Office Supplies,Binders,4.4298639640880415,5,0.2,P
2463,Standard Class,Consumer,New York,East,Office Supplies,Binders,2.6826640147117944,2,0.2,P
2464,Standard Class,Consumer,New York,East,Technology,Phones,4.919907930463299,1,0.0,P
2465,Standard Class,Consumer,New York,East,Office Supplies,Labels,1.1474024528375417,1,0.0,P
2466,Standard Class,Consumer,Virginia,South,Office Supplies,Paper,2.209372711271867,1,0.0,P
2467,Standard Class,Consumer,Virginia,South,Office Supplies,Storage,6.348159490846717,4,0.0,P
2468,Standard Class,Consumer,Virginia,South,Office Supplies,Paper,3.4781584227982836,5,0.0,P
2469,Standard Class,Consumer,Virginia,South,Office Supplies,Storage,2.827905162910489,1,0.0,P
2470,Standard Class,Consumer,North Carolina,South,Furniture,Furnishings,2.6582995758376535,8,0.2,P
2471,Standard Class,Consumer,North Carolina,South,Furniture,Bookcases,6.111768846151411,4,0.2,L
2472,Standard Class,Consumer,North Carolina,South,Office Supplies,Appliances,4.17229277026959,4,0.2,P
2473,First Class,Consumer,California,West,Furniture,Chairs,5.382584982866603,2,0.2,L
2474,First Class,Consumer,California,West,Technology,Accessories,4.418238016636454,5,0.0,P
2475,First Class,Consumer,California,West,Office Supplies,Labels,4.47403591796329,7,0.0,P
2476,First Class,Consumer,California,West,Office Supplies,Appliances,7.004410009019,4,0.0,P
2477,Second Class,Corporate,California,West,Furniture,Tables,7.187167248207386,3,0.2,L
2478,Standard Class,Consumer,New York,East,Office Supplies,Art,1.6974487897568136,3,0.0,P
2479,Standard Class,Consumer,Texas,Central,Office Supplies,Supplies,2.4144841854914545,1,0.2,P
2480,Standard Class,Consumer,Texas,Central,Office Supplies,Storage,5.034247648621181,2,0.2,L
2481,Standard Class,Consumer,Washington,West,Office Supplies,Storage,6.911368742551972,6,0.0,L
2482,Standard Class,Home Office,Washington,West,Technology,Phones,3.560136578221211,4,0.2,P
2483,Standard Class,Home Office,Washington,West,Furniture,Tables,7.036807906896751,5,0.0,P
2484,Standard Class,Home Office,Washington,West,Office Supplies,Binders,4.601965055039143,5,0.2,P
2485,Standard Class,Home Office,Washington,West,Office Supplies,Art,1.715598108262491,2,0.0,P
2486,Second Class,Corporate,Delaware,East,Office Supplies,Storage,4.4487502667167895,2,0.0,P
2487,Second Class,Corporate,Delaware,East,Office Supplies,Art,2.286455711064162,3,0.0,P
2488,Second Class,Corporate,Delaware,East,Office Supplies,Paper,2.997730276216664,3,0.0,P
2489,Second Class,Consumer,New York,East,Technology,Phones,6.448826101004649,4,0.0,P
2490,Second Class,Consumer,New York,East,Office Supplies,Paper,3.1747149290824312,4,0.0,P
2491,Second Class,Consumer,California,West,Office Supplies,Paper,4.502472787749749,6,0.0,P
2492,Standard Class,Consumer,New York,East,Technology,Phones,8.42262093927631,7,0.0,P
2493,Second Class,Consumer,Texas,Central,Furniture,Tables,5.706877679563504,5,0.3,L
2494,Second Class,Consumer,Texas,Central,Technology,Phones,6.5791956549112784,5,0.2,P
2495,Standard Class,Consumer,Indiana,Central,Furniture,Chairs,6.473643752283851,8,0.0,P
2496,Standard Class,Home Office,California,West,Office Supplies,Storage,4.161535811762424,3,0.0,P
2497,Standard Class,Home Office,California,West,Office Supplies,Envelopes,4.823984379141072,2,0.0,P
2498,Standard Class,Corporate,California,West,Office Supplies,Binders,2.2600950413730936,1,0.2,P
2499,First Class,Consumer,Florida,South,Office Supplies,Envelopes,3.6272167937218294,3,0.2,P
2500,First Class,Corporate,Illinois,Central,Office Supplies,Paper,2.5034012324241646,2,0.2,P
2501,First Class,Corporate,Illinois,Central,Office Supplies,Binders,0.8346467428336447,4,0.8,L
2502,First Class,Corporate,Illinois,Central,Office Supplies,Binders,2.2364452904895007,4,0.8,L
2503,Standard Class,Consumer,California,West,Office Supplies,Labels,1.998773638612381,2,0.0,P
2504,Second Class,Consumer,California,West,Office Supplies,Storage,3.9837853716550367,4,0.0,P
2505,Second Class,Consumer,California,West,Office Supplies,Supplies,9.010382200386374,5,0.0,P
2506,Second Class,Consumer,California,West,Furniture,Furnishings,4.3556826593342794,8,0.0,P
2507,Same Day,Consumer,Texas,Central,Office Supplies,Appliances,3.489940591496544,4,0.8,L
2508,Standard Class,Corporate,California,West,Technology,Phones,5.282066025961987,3,0.2,P
2509,Standard Class,Corporate,California,West,Technology,Accessories,6.173661096088786,6,0.0,P
2510,Standard Class,Home Office,Oklahoma,Central,Office Supplies,Storage,7.019225094804141,4,0.0,P
2511,First Class,Consumer,Louisiana,South,Technology,Accessories,4.66814498514948,6,0.0,P
2512,Standard Class,Home Office,Florida,South,Office Supplies,Binders,3.821222641101649,5,0.7,L
2513,Standard Class,Corporate,Illinois,Central,Technology,Accessories,4.564014802566598,4,0.2,P
2514,Standard Class,Corporate,Illinois,Central,Furniture,Chairs,3.871034330350792,2,0.3,L
2515,Standard Class,Consumer,Ohio,East,Office Supplies,Storage,5.577160490332613,2,0.2,P
2516,Standard Class,Consumer,Texas,Central,Office Supplies,Envelopes,6.404659701278057,9,0.2,P
2517,Standard Class,Corporate,New Jersey,East,Furniture,Furnishings,4.866995843894645,3,0.0,P
2518,Standard Class,Home Office,Oklahoma,Central,Office Supplies,Labels,3.0037004432031678,7,0.0,P
2519,Standard Class,Home Office,Oklahoma,Central,Office Supplies,Labels,3.3830334110344844,6,0.0,P
2520,Standard Class,Home Office,Oklahoma,Central,Office Supplies,Appliances,6.766871207255264,3,0.0,P
2521,Standard Class,Home Office,Oklahoma,Central,Office Supplies,Paper,2.561867690924129,2,0.0,P
2522,Standard Class,Home Office,Oklahoma,Central,Technology,Phones,1.7047480922384253,1,0.0,P
2523,Standard Class,Home Office,Oklahoma,Central,Office Supplies,Binders,4.800736969532067,4,0.0,P
2524,Standard Class,Consumer,Texas,Central,Office Supplies,Art,3.738811822862145,9,0.2,P
2525,Standard Class,Consumer,Texas,Central,Technology,Accessories,3.2382077531676927,2,0.2,P
2526,Standard Class,Consumer,Texas,Central,Office Supplies,Binders,1.9315214116032138,3,0.8,L
2527,Standard Class,Consumer,Texas,Central,Office Supplies,Binders,2.2667506399848296,6,0.8,L
2528,Standard Class,Consumer,Texas,Central,Office Supplies,Paper,2.075433520282297,2,0.2,P
2529,Standard Class,Home Office,Florida,South,Office Supplies,Paper,2.3387241396099188,2,0.2,P
2530,Standard Class,Corporate,Arkansas,South,Office Supplies,Paper,4.73795129722191,5,0.0,P
2531,Standard Class,Corporate,Arkansas,South,Office Supplies,Binders,2.8881470628740535,4,0.0,P
2532,Standard Class,Corporate,Arkansas,South,Office Supplies,Fasteners,2.5392369943330477,7,0.0,P
2533,Standard Class,Corporate,Arkansas,South,Technology,Accessories,5.828827963630426,4,0.0,P
2534,Second Class,Corporate,Pennsylvania,East,Office Supplies,Storage,7.496448199776972,6,0.2,L
2535,First Class,Corporate,California,West,Technology,Accessories,3.83557383326474,4,0.0,P
2536,Second Class,Consumer,Ohio,East,Furniture,Chairs,5.203929761041141,2,0.3,L
2537,Second Class,Consumer,Ohio,East,Technology,Phones,6.068370031145288,4,0.4,L
2538,Second Class,Consumer,Ohio,East,Technology,Phones,5.045809369103909,1,0.4,L
2539,Same Day,Corporate,California,West,Furniture,Chairs,7.206899410337351,6,0.2,L
2540,Same Day,Corporate,California,West,Furniture,Chairs,6.5512974543284495,3,0.2,P
2541,Standard Class,Corporate,Arizona,West,Furniture,Furnishings,4.717498370961511,7,0.2,P
2542,Second Class,Corporate,Pennsylvania,East,Office Supplies,Appliances,4.969479910674763,3,0.2,P
2543,Standard Class,Home Office,Massachusetts,East,Furniture,Bookcases,5.158710412161619,3,0.0,P
2544,Standard Class,Home Office,Massachusetts,East,Office Supplies,Labels,2.6919208191723265,4,0.0,P
2545,Standard Class,Consumer,California,West,Office Supplies,Storage,5.327487743847817,4,0.0,P
2546,Standard Class,Consumer,California,West,Furniture,Bookcases,4.633106313180993,1,0.15,L
2547,Standard Class,Consumer,Arizona,West,Office Supplies,Art,0.8346467428336447,1,0.2,P
2548,Standard Class,Consumer,Arizona,West,Technology,Phones,7.5390057790019,5,0.2,P
2549,Standard Class,Consumer,Arizona,West,Office Supplies,Paper,5.746279864916892,8,0.2,P
2550,Standard Class,Consumer,Arizona,West,Office Supplies,Labels,1.6174060820832772,2,0.2,P
2551,Standard Class,Consumer,Kentucky,South,Furniture,Furnishings,6.711594398997814,6,0.0,P
2552,Standard Class,Consumer,Kentucky,South,Office Supplies,Binders,3.08922261664133,2,0.0,P
2553,Standard Class,Home Office,South Carolina,South,Office Supplies,Paper,3.255014871484074,4,0.0,P
2554,Standard Class,Consumer,Florida,South,Technology,Phones,6.5589691364636415,7,0.2,P
2555,Standard Class,Consumer,New York,East,Technology,Accessories,3.912023005428146,2,0.0,P
2556,Standard Class,Corporate,Texas,Central,Furniture,Furnishings,3.94568986289863,8,0.6,L
2557,Standard Class,Corporate,Florida,South,Office Supplies,Appliances,1.9447666383532343,2,0.2,P
2558,Standard Class,Consumer,Utah,West,Furniture,Bookcases,7.249115549676126,7,0.0,P
2559,Standard Class,Consumer,Utah,West,Office Supplies,Labels,2.7568403652716422,5,0.0,P
2560,Standard Class,Consumer,Utah,West,Office Supplies,Storage,5.777961872830453,2,0.0,P
2561,Standard Class,Consumer,Tennessee,South,Office Supplies,Labels,2.2209411039535354,4,0.2,P
2562,Standard Class,Consumer,Tennessee,South,Office Supplies,Paper,2.3387241396099188,2,0.2,P
2563,Second Class,Corporate,New York,East,Technology,Accessories,2.7093826463359885,1,0.0,P
2564,Second Class,Corporate,New York,East,Office Supplies,Storage,3.5210523434704344,2,0.0,P
2565,First Class,Consumer,Kentucky,South,Technology,Accessories,4.2626798770413155,4,0.0,P
2566,Second Class,Consumer,Washington,West,Office Supplies,Binders,3.223664341599998,5,0.2,P
2567,Second Class,Consumer,Washington,West,Furniture,Tables,7.888191954945577,9,0.0,P
2568,Standard Class,Corporate,New York,East,Office Supplies,Storage,6.169778082504398,8,0.0,P
2569,Same Day,Corporate,Ohio,East,Technology,Phones,5.102229487257253,2,0.4,L
2570,Same Day,Corporate,Ohio,East,Office Supplies,Art,2.583846597642904,4,0.2,P
2571,Standard Class,Home Office,Illinois,Central,Office Supplies,Art,1.0688401303344395,2,0.2,P
2572,Second Class,Consumer,Texas,Central,Technology,Accessories,7.244187514803329,7,0.2,P
2573,Standard Class,Home Office,Indiana,Central,Furniture,Furnishings,6.266156360302769,5,0.0,P
2574,Standard Class,Corporate,Georgia,South,Office Supplies,Envelopes,2.7868613815264998,3,0.0,P
2575,Standard Class,Corporate,Georgia,South,Office Supplies,Binders,5.768008446955473,5,0.0,P
2576,Standard Class,Corporate,Georgia,South,Office Supplies,Envelopes,2.4300984132930052,2,0.0,P
